epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,339.515,3.50537,5.39731,3.93491,0.00124,0.03039,0.00102,0.00036,2.90862,5.36478,3.38559,0.00332613,0.00332613,0.00332613
2,674.31,2.29052,3.87526,2.41236,0.29449,0.04716,0.02494,0.01215,1.98648,3.40587,2.2623,0.00664848,0.00664848,0.00664848
3,1009.33,1.82444,3.17865,1.90075,0.18715,0.11045,0.06667,0.03792,1.68442,2.86791,1.92568,0.00995982,0.00995982,0.00995982
4,1343.43,1.60355,2.69529,1.68308,0.27454,0.18943,0.14434,0.08914,1.48768,2.37295,1.71398,0.0099505,0.0099505,0.0099505
5,1676.4,1.47571,2.37954,1.56957,0.34372,0.23998,0.21,0.13412,1.38809,2.11763,1.62507,0.009934,0.009934,0.009934
6,2010.38,1.40929,2.18015,1.50784,0.37788,0.27837,0.25476,0.16657,1.32322,1.92451,1.55641,0.0099175,0.0099175,0.0099175
7,2343.96,1.35212,2.03533,1.46223,0.44001,0.30475,0.29696,0.19705,1.27377,1.78449,1.5056,0.009901,0.009901,0.009901
8,2676.06,1.3158,1.9333,1.43198,0.44891,0.32622,0.32489,0.21996,1.23968,1.69481,1.47202,0.0098845,0.0098845,0.0098845
9,3009.05,1.27741,1.82506,1.3979,0.49566,0.34958,0.35489,0.24383,1.20284,1.60799,1.44046,0.009868,0.009868,0.009868
10,3341.57,1.26078,1.78262,1.38231,0.50673,0.36221,0.37492,0.25732,1.18591,1.5561,1.42331,0.0098515,0.0098515,0.0098515
11,3673.47,1.24672,1.74267,1.36511,0.53834,0.37242,0.39763,0.27636,1.15624,1.48566,1.38694,0.009835,0.009835,0.009835
12,4006.24,1.2313,1.69314,1.34667,0.53183,0.38781,0.41007,0.28451,1.1439,1.43917,1.37315,0.0098185,0.0098185,0.0098185
13,4338.94,1.21715,1.6509,1.33201,0.55692,0.40192,0.4247,0.29919,1.12385,1.39582,1.35435,0.009802,0.009802,0.009802
14,4672.12,1.20509,1.62334,1.32076,0.54257,0.41828,0.43731,0.30779,1.11269,1.3637,1.34427,0.0097855,0.0097855,0.0097855
15,5006.71,1.19163,1.59336,1.31065,0.58296,0.41486,0.44933,0.31825,1.1003,1.32987,1.33075,0.009769,0.009769,0.009769
16,5340.58,1.18282,1.57683,1.30227,0.55761,0.44287,0.46322,0.32927,1.08957,1.29571,1.31662,0.0097525,0.0097525,0.0097525
17,5673.79,1.16887,1.56098,1.29165,0.5757,0.44285,0.47005,0.33476,1.07934,1.27309,1.30628,0.009736,0.009736,0.009736
18,6006.44,1.17089,1.53612,1.29179,0.57017,0.45739,0.48112,0.34346,1.07282,1.25585,1.29976,0.0097195,0.0097195,0.0097195
19,6339.58,1.15918,1.52115,1.2778,0.57292,0.46464,0.49016,0.35025,1.06064,1.23206,1.28982,0.009703,0.009703,0.009703
20,6672.2,1.1474,1.50456,1.27399,0.57782,0.46417,0.49455,0.35502,1.05556,1.21453,1.28223,0.0096865,0.0096865,0.0096865
21,7005.81,1.14619,1.48513,1.26837,0.60426,0.46899,0.50412,0.3633,1.04847,1.19666,1.27322,0.00967,0.00967,0.00967
22,7338.86,1.13456,1.47845,1.25841,0.60664,0.47729,0.5116,0.36757,1.04232,1.18328,1.2668,0.0096535,0.0096535,0.0096535
23,7671.45,1.13297,1.46623,1.25447,0.59445,0.49168,0.51799,0.3737,1.03811,1.17036,1.26364,0.009637,0.009637,0.009637
24,8004.47,1.12597,1.44845,1.25281,0.60622,0.48754,0.52069,0.37656,1.03291,1.16242,1.2585,0.0096205,0.0096205,0.0096205
25,8337.24,1.12306,1.43984,1.24951,0.61931,0.48193,0.52364,0.37965,1.02809,1.15354,1.25248,0.009604,0.009604,0.009604
26,8670.01,1.12349,1.43501,1.24851,0.63143,0.47851,0.52814,0.38322,1.02405,1.14283,1.25152,0.0095875,0.0095875,0.0095875
27,9002.2,1.12864,1.44485,1.2523,0.62479,0.48835,0.53199,0.38683,1.02104,1.13615,1.24809,0.009571,0.009571,0.009571
28,9336.02,1.11923,1.42122,1.24311,0.62711,0.48906,0.53504,0.38907,1.01765,1.12833,1.24453,0.0095545,0.0095545,0.0095545
29,9668.81,1.11019,1.42381,1.23884,0.63298,0.49252,0.53897,0.39257,1.01426,1.12196,1.24169,0.009538,0.009538,0.009538
30,10001.6,1.11902,1.40856,1.23924,0.63402,0.49027,0.54058,0.39316,1.01318,1.11689,1.23994,0.0095215,0.0095215,0.0095215
31,10333.9,1.1096,1.40098,1.23409,0.62188,0.50063,0.54372,0.39555,1.01067,1.11139,1.23633,0.009505,0.009505,0.009505
32,10667.1,1.09967,1.40037,1.23033,0.63223,0.50015,0.54639,0.39801,1.00796,1.10738,1.23361,0.0094885,0.0094885,0.0094885
33,11000,1.10104,1.38723,1.22875,0.62455,0.50649,0.54795,0.39939,1.0061,1.10285,1.23128,0.009472,0.009472,0.009472
34,11332.2,1.09674,1.3802,1.22636,0.63335,0.50689,0.55029,0.4013,1.00465,1.09914,1.22987,0.0094555,0.0094555,0.0094555
35,11664.9,1.1023,1.37526,1.22542,0.63352,0.50719,0.5515,0.40233,1.00366,1.09616,1.22844,0.009439,0.009439,0.009439
36,11997.5,1.09445,1.3663,1.22177,0.63825,0.50439,0.55231,0.40362,1.00171,1.09305,1.22686,0.0094225,0.0094225,0.0094225
37,12329,1.09544,1.36887,1.22457,0.6382,0.50533,0.55325,0.4047,1.00063,1.09024,1.22566,0.009406,0.009406,0.009406
38,12662.6,1.09019,1.35392,1.21883,0.64009,0.50625,0.55396,0.4055,0.99988,1.08835,1.22453,0.0093895,0.0093895,0.0093895
39,12995.6,1.08457,1.35446,1.21445,0.63798,0.50768,0.55442,0.4061,0.99863,1.08597,1.22316,0.009373,0.009373,0.009373
40,13327.9,1.08957,1.34708,1.21577,0.63801,0.50866,0.55509,0.40676,0.99762,1.08365,1.22187,0.0093565,0.0093565,0.0093565
41,13661.9,1.0885,1.34489,1.21353,0.64322,0.50727,0.55571,0.40736,0.99719,1.08139,1.22115,0.00934,0.00934,0.00934
42,13995.2,1.0888,1.34748,1.21251,0.64672,0.50632,0.55687,0.40813,0.99673,1.08031,1.22035,0.0093235,0.0093235,0.0093235
43,14326.5,1.08285,1.33805,1.20708,0.64384,0.50894,0.55718,0.40857,0.99622,1.07891,1.21959,0.009307,0.009307,0.009307
44,14659.6,1.07912,1.33274,1.2079,0.64195,0.50975,0.5578,0.40925,0.9956,1.07775,1.21903,0.0092905,0.0092905,0.0092905
45,14992,1.08148,1.34054,1.20964,0.64139,0.51007,0.55847,0.40974,0.99512,1.07684,1.21837,0.009274,0.009274,0.009274
46,15325.3,1.08338,1.33678,1.21249,0.64331,0.50963,0.55909,0.41035,0.99451,1.07587,1.21755,0.0092575,0.0092575,0.0092575
47,15660,1.08277,1.32516,1.20613,0.64878,0.50784,0.55951,0.41083,0.99396,1.07512,1.21694,0.009241,0.009241,0.009241
48,15992.5,1.08089,1.31833,1.2057,0.65144,0.5072,0.55973,0.41112,0.99345,1.07418,1.21654,0.0092245,0.0092245,0.0092245
49,16324.7,1.07137,1.31479,1.20162,0.65194,0.50817,0.55993,0.41131,0.99304,1.07381,1.21606,0.009208,0.009208,0.009208
50,16656.5,1.07346,1.32107,1.20351,0.64935,0.50929,0.56029,0.4116,0.99263,1.07367,1.21538,0.0091915,0.0091915,0.0091915
51,16987.9,1.07494,1.32269,1.20471,0.64823,0.51034,0.56067,0.4117,0.99272,1.07342,1.21516,0.009175,0.009175,0.009175
52,17319,1.07716,1.31053,1.20348,0.64881,0.50998,0.56113,0.41209,0.9926,1.07329,1.21508,0.0091585,0.0091585,0.0091585
53,17650.7,1.06792,1.30552,1.2008,0.64766,0.51152,0.56117,0.41206,0.99252,1.07375,1.21475,0.009142,0.009142,0.009142
54,17979.9,1.07475,1.29928,1.1975,0.65118,0.50967,0.56129,0.41201,0.99198,1.07462,1.21412,0.0091255,0.0091255,0.0091255
55,18312.5,1.06793,1.30218,1.20036,0.65463,0.5078,0.56129,0.4121,0.99178,1.07525,1.21411,0.009109,0.009109,0.009109
56,18644.9,1.06691,1.29861,1.19885,0.65413,0.50865,0.56101,0.41234,0.99149,1.07613,1.21378,0.0090925,0.0090925,0.0090925
57,18977.3,1.06584,1.29235,1.19663,0.65457,0.50869,0.56105,0.41247,0.9916,1.07713,1.21363,0.009076,0.009076,0.009076
58,19309.6,1.06618,1.29262,1.19672,0.6558,0.50807,0.56106,0.41255,0.99179,1.07829,1.21368,0.0090595,0.0090595,0.0090595
59,19641.8,1.06454,1.29178,1.19326,0.65586,0.5083,0.56125,0.41264,0.99172,1.07972,1.21357,0.009043,0.009043,0.009043
60,19973,1.06428,1.28334,1.19269,0.65237,0.50998,0.56102,0.41269,0.9918,1.0812,1.2138,0.0090265,0.0090265,0.0090265
61,20304.9,1.06711,1.29269,1.19731,0.64696,0.5125,0.56101,0.41283,0.99175,1.0827,1.21393,0.00901,0.00901,0.00901
62,20636,1.05883,1.28137,1.19082,0.6478,0.51231,0.56062,0.41275,0.9917,1.08469,1.21375,0.0089935,0.0089935,0.0089935
63,20967.4,1.06154,1.28246,1.19157,0.64734,0.51363,0.56061,0.41267,0.99175,1.08654,1.21378,0.008977,0.008977,0.008977
64,21300.1,1.06152,1.28286,1.19348,0.64783,0.51248,0.56024,0.41253,0.99141,1.0888,1.21373,0.0089605,0.0089605,0.0089605
65,21632.3,1.06364,1.28306,1.19372,0.64834,0.51178,0.56005,0.4125,0.9915,1.09067,1.21376,0.008944,0.008944,0.008944
66,21964.9,1.0574,1.26505,1.18739,0.64676,0.51227,0.55972,0.41226,0.9914,1.09253,1.21372,0.0089275,0.0089275,0.0089275
67,22295.7,1.06142,1.27786,1.18941,0.64965,0.51095,0.55948,0.41229,0.99156,1.09447,1.21382,0.008911,0.008911,0.008911
68,22627.8,1.05332,1.27129,1.18654,0.64911,0.51044,0.55953,0.41254,0.99168,1.09652,1.21379,0.0088945,0.0088945,0.0088945
69,22960,1.05257,1.27969,1.19052,0.64956,0.50959,0.55934,0.41265,0.99166,1.09797,1.2138,0.008878,0.008878,0.008878
70,23292.7,1.05492,1.26569,1.18735,0.64933,0.51003,0.55933,0.41248,0.99162,1.09991,1.21365,0.0088615,0.0088615,0.0088615
71,23625.8,1.05426,1.27105,1.18699,0.65276,0.50799,0.559,0.41251,0.99176,1.10163,1.21362,0.008845,0.008845,0.008845
72,23957.4,1.05187,1.25969,1.18452,0.65176,0.50945,0.55935,0.41271,0.99148,1.10329,1.21347,0.0088285,0.0088285,0.0088285
73,24288,1.04796,1.26084,1.1815,0.65014,0.51026,0.55927,0.41264,0.99132,1.1053,1.2135,0.008812,0.008812,0.008812
74,24619.3,1.05406,1.26196,1.18655,0.65103,0.50888,0.55933,0.41258,0.99104,1.10679,1.21319,0.0087955,0.0087955,0.0087955
75,24950.7,1.05526,1.2617,1.18467,0.65058,0.50964,0.55926,0.41268,0.99079,1.10818,1.213,0.008779,0.008779,0.008779
76,25282.5,1.04908,1.25372,1.18254,0.64694,0.51088,0.5596,0.41295,0.99068,1.10918,1.21265,0.0087625,0.0087625,0.0087625
77,25615.6,1.0449,1.25239,1.17886,0.64991,0.50942,0.55984,0.41325,0.99066,1.11031,1.21251,0.008746,0.008746,0.008746
78,25945.7,1.04572,1.25462,1.18269,0.64998,0.50996,0.56013,0.41337,0.99047,1.11131,1.21235,0.0087295,0.0087295,0.0087295
79,26277.4,1.04843,1.25849,1.18343,0.65048,0.5095,0.56015,0.41355,0.99007,1.11211,1.21203,0.008713,0.008713,0.008713
80,26608.9,1.05032,1.24024,1.17944,0.65352,0.50838,0.56011,0.41382,0.98991,1.11276,1.212,0.0086965,0.0086965,0.0086965
81,26941.1,1.05005,1.24802,1.18048,0.65389,0.50836,0.56073,0.41406,0.9897,1.11289,1.21173,0.00868,0.00868,0.00868
82,27273.3,1.04755,1.25242,1.18079,0.65771,0.50823,0.56109,0.41444,0.98937,1.11353,1.2114,0.0086635,0.0086635,0.0086635
83,27605.4,1.04907,1.24937,1.17926,0.65742,0.50791,0.56128,0.41467,0.98885,1.1137,1.21097,0.008647,0.008647,0.008647
84,27935.1,1.04722,1.24181,1.17834,0.65887,0.50887,0.56197,0.41523,0.98843,1.11371,1.2105,0.0086305,0.0086305,0.0086305
85,28266.3,1.04714,1.23913,1.17717,0.6573,0.51017,0.56224,0.41578,0.98782,1.11321,1.21001,0.008614,0.008614,0.008614
