epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,519.197,3.54187,5.39907,3.94662,0.00135,0.02527,0.00113,0.00037,2.88596,4.45246,3.35333,0.00332613,0.00332613,0.00332613
2,1039.78,2.26566,3.79278,2.34889,0.20557,0.07287,0.03583,0.01831,1.92128,3.24893,2.16043,0.00664848,0.00664848,0.00664848
3,1556.86,1.78658,3.06815,1.83309,0.24614,0.13364,0.09034,0.05312,1.62598,2.69211,1.83255,0.00995982,0.00995982,0.00995982
4,2072.73,1.56497,2.58273,1.62293,0.30879,0.20758,0.17107,0.10605,1.43363,2.27481,1.65635,0.0099505,0.0099505,0.0099505
5,2587.87,1.43536,2.2441,1.51289,0.37642,0.26308,0.24113,0.15775,1.33387,2.00528,1.56117,0.009934,0.009934,0.009934
6,3103.71,1.35558,2.04958,1.45167,0.42429,0.29737,0.28436,0.18978,1.26977,1.82335,1.49348,0.0099175,0.0099175,0.0099175
7,3617.05,1.30563,1.90673,1.41003,0.45979,0.32491,0.32429,0.21886,1.2298,1.70068,1.45036,0.009901,0.009901,0.009901
8,4131.44,1.26857,1.81472,1.37504,0.46949,0.35387,0.35481,0.24208,1.18722,1.62273,1.416,0.0098845,0.0098845,0.0098845
9,4646.49,1.23735,1.73146,1.35265,0.50558,0.36292,0.37985,0.26353,1.16471,1.55663,1.3882,0.009868,0.009868,0.009868
10,5160.82,1.21154,1.66658,1.32902,0.51379,0.3941,0.40967,0.28558,1.13229,1.46027,1.36062,0.0098515,0.0098515,0.0098515
11,5675.44,1.1941,1.63388,1.31402,0.53026,0.40181,0.42135,0.29435,1.11622,1.42328,1.34151,0.009835,0.009835,0.009835
12,6189.95,1.17611,1.5856,1.29553,0.53939,0.42102,0.44145,0.31071,1.10179,1.36632,1.32868,0.0098185,0.0098185,0.0098185
13,6702.71,1.16498,1.55847,1.28609,0.54834,0.43145,0.45573,0.32333,1.09025,1.33136,1.3153,0.009802,0.009802,0.009802
14,7216.21,1.15052,1.51762,1.27086,0.56712,0.44174,0.46971,0.33287,1.07196,1.28876,1.29421,0.0097855,0.0097855,0.0097855
15,7729.98,1.13863,1.50004,1.26264,0.57393,0.4455,0.47971,0.34316,1.05663,1.26032,1.28387,0.009769,0.009769,0.009769
16,8243.71,1.13534,1.48283,1.26007,0.58461,0.45703,0.4924,0.35349,1.04528,1.22671,1.27165,0.0097525,0.0097525,0.0097525
17,8758.73,1.12487,1.46143,1.24862,0.58888,0.46421,0.49804,0.35999,1.03979,1.21029,1.2656,0.009736,0.009736,0.009736
18,9272.29,1.11643,1.43329,1.24251,0.59193,0.47442,0.5066,0.36505,1.03029,1.18424,1.25755,0.0097195,0.0097195,0.0097195
19,9786.44,1.10631,1.4173,1.23572,0.61492,0.47463,0.51547,0.37358,1.02302,1.17187,1.24978,0.009703,0.009703,0.009703
20,10301.1,1.09932,1.41067,1.23094,0.62253,0.48335,0.52436,0.38043,1.0186,1.14988,1.24516,0.0096865,0.0096865,0.0096865
21,10816.3,1.09889,1.39934,1.2266,0.61884,0.48843,0.52903,0.38518,1.01018,1.13691,1.23654,0.00967,0.00967,0.00967
22,11329.7,1.08903,1.3861,1.22041,0.61718,0.49661,0.53729,0.39191,1.00388,1.12673,1.23151,0.0096535,0.0096535,0.0096535
23,11845.4,1.08583,1.37412,1.21556,0.6293,0.49529,0.53967,0.39457,1.0012,1.11215,1.22857,0.009637,0.009637,0.009637
24,12359.2,1.08383,1.35927,1.21449,0.628,0.50289,0.54334,0.39682,0.9961,1.10021,1.22397,0.0096205,0.0096205,0.0096205
25,12873.8,1.07419,1.3482,1.20669,0.63029,0.51138,0.55016,0.40314,0.99375,1.09061,1.22147,0.009604,0.009604,0.009604
26,13388.2,1.07558,1.3432,1.20773,0.64691,0.50716,0.55524,0.40699,0.99048,1.08465,1.21653,0.0095875,0.0095875,0.0095875
27,13902,1.07517,1.33847,1.20573,0.65858,0.50665,0.55913,0.41031,0.98839,1.07615,1.21479,0.009571,0.009571,0.009571
28,14415.5,1.06935,1.32877,1.20234,0.65202,0.51252,0.56183,0.4131,0.98315,1.06965,1.2113,0.0095545,0.0095545,0.0095545
